target_col,test_seed,subsample_seed,n_train,descriptor_family,model_name,feature,importance_mean,importance_std
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,ASA,0.018428781410362593,0.0001834038480577539
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,vASA,0.030978454233667664,0.0007726936168037549
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,NASA,0.0007971529293456681,9.591299477125063e-05
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,AVA,0.004454414961531661,0.0002824757957624032
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,AVAf,0.23347264703712925,0.0006556001960763379
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,POAVA,0.009413349130182913,0.0002956661626629667
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,Df,0.010426535536047832,0.00037512077085499886
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,Di,0.005225209638937467,0.00019041890344436623
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,Dif,0.019236449209153718,0.00028004899422175367
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,lcd_pld_ratio,0.0033225320940145297,0.0002037126173614893
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,cavity_window_gap,0.0047484678611523275,0.00018182650587137824
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,sa_pv_ratio,0.008421118406432403,0.0002693529710587424
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,vf_density_ratio,0.36587475117397006,0.0021599217043852758
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,log_pld_plus1,0.010223109284981869,0.0003644911333200531
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,log_lcd_plus1,0.003899244010309155,0.0001520508239768254
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,topology_label___OTHER__,0.17673902404543607,0.0019832742728697786
uptake(mmol/g) CO2 at 0.15 bar,17,2,210995,geometry_plus_topology,rf,UC_volume,0.10205915144332298,0.0013841858446274641
uptake(mmol/g) CO2 at 0.15 bar,17,2,210995,geometry_plus_topology,rf,Density,0.13705610560893428,0.0006317580042790738
uptake(mmol/g) CO2 at 0.15 bar,17,2,210995,geometry_plus_topology,rf,ASA,0.025202006397828675,0.0005109629738725184
